player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,TB,2020,1,REG,23,36,239,2,2,3,15,1,0,292,90,10,-9.496857722403995,0,0.06893690886601063,3,9,1,0,0,2,1.5054478323436342,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.46,20.46
00-0019596,T.Brady,TB,2020,2,REG,23,35,217,1,1,0,-0,0,0,234,110,11,0.5243797431487236,0,0.07635570426713184,1,0,0,1,1,0,-5.488590500433929,0,0,0,0,0,0,0,0,0,0,NA,0,0,8.68,8.68
00-0019596,T.Brady,TB,2020,3,REG,25,38,297,3,0,2,12,0,0,311,111,12,11.559702363011635,0,0.15510344126071574,5,0,0,1,0,0,-3.8117261155429736,0,0,0,0,0,0,0,0,0,0,NA,0,0,23.880000000000003,23.880000000000003
00-0019596,T.Brady,TB,2020,4,REG,30,46,369,5,1,0,-0,0,0,431,109,20,12.68563631425695,0,0.21388370911822036,3,-3,0,0,0,0,-1.1660741547239013,0,0,0,0,0,0,0,0,0,0,NA,0,0,32.46,32.46
00-0019596,T.Brady,TB,2020,5,REG,25,41,253,1,0,3,20,0,0,383,100,11,0.32756780545183384,0,0.037880627897304536,3,0,0,1,0,1,1.1466213935054839,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.120000000000001,14.120000000000001
00-0019596,T.Brady,TB,2020,6,REG,17,27,166,2,0,0,-0,0,0,231,72,9,6.482448933336238,0,0.20448145838667825,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.64,14.64
00-0019596,T.Brady,TB,2020,7,REG,33,45,369,4,0,0,-0,0,0,399,134,22,26.700099779346466,0,0.3451252812019629,1,1,1,0,0,1,1.177594628650695,0,0,0,0,0,0,0,0,0,0,NA,0,0,36.86,36.86
00-0019596,T.Brady,TB,2020,8,REG,28,40,279,2,0,2,16,0,0,364,94,18,10.680832045140857,0,0.18719227515327028,1,-1,0,0,0,0,-1.3308028962346725,0,0,0,0,0,0,0,0,0,0,NA,0,0,19.06,19.06
00-0019596,T.Brady,TB,2020,9,REG,22,38,209,0,3,3,23,0,0,365,80,10,-23.323347462876818,0,0.023745965869390526,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,2.3599999999999994,2.3599999999999994
00-0019596,T.Brady,TB,2020,10,REG,28,39,341,3,0,1,7,0,0,324,168,18,28.041577820407404,0,0.31525253743992543,2,2,1,0,0,1,-0.407605364609787,0,0,0,0,0,0,0,0,0,0,NA,0,0,31.84,31.84
00-0019596,T.Brady,TB,2020,11,REG,26,48,216,2,2,1,7,0,0,420,83,14,-9.628150245101097,0,-0.02136075565863491,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,12.64,12.64
00-0019596,T.Brady,TB,2020,12,REG,27,41,345,3,2,1,3,0,0,392,141,14,7.231104038787295,0,0.12515774267347818,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.7,21.7
00-0019596,T.Brady,TB,2020,14,REG,15,23,196,2,0,0,-0,0,0,228,57,8,8.709685503128247,0,0.25269276741997954,3,-2,0,0,0,0,-2.523511495848652,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.64,15.64
00-0019596,T.Brady,TB,2020,15,REG,31,45,390,2,0,3,25,0,0,349,195,19,14.32021332060315,0,0.17342011677265617,2,-2,0,0,0,0,-4.135681597050279,0,0,0,0,0,0,0,0,0,0,NA,0,0,23.400000000000002,23.400000000000002
